name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
记叙文六要素,语文,Grade 7,现代文阅读,1,掌握记叙文六要素的相关知识和技能,2,3,0.5,理解记叙文六要素的含义和特点,对记叙文六要素的理解不够准确,多练习，深入理解记叙文六要素,记叙文六要素|narrative|初中|基础知识
记叙顺序,语文,Grade 7,现代文阅读,1,掌握记叙顺序的相关知识和技能,3,3,0.5,掌握记叙顺序的方法和应用,对记叙顺序的理解不够准确,多练习，深入理解记叙顺序,记叙顺序|narrative|初中|基础知识
人物描写方法,语文,Grade 7,现代文阅读,1,掌握人物描写方法的相关知识和技能,2,3,0.5,理解人物描写方法的含义和特点,对人物描写方法的理解不够准确,多练习，深入理解人物描写方法,人物描写方法|narrative|初中|基础知识
环境描写,语文,Grade 7,现代文阅读,1,掌握环境描写的相关知识和技能,3,2,0.4,掌握环境描写的方法和应用,对环境描写的理解不够准确,多练习，深入理解环境描写,环境描写|narrative|初中|基础知识
细节描写,语文,Grade 7,现代文阅读,1,掌握细节描写的相关知识和技能,2,2,0.4,理解细节描写的含义和特点,对细节描写的理解不够准确,多练习，深入理解细节描写,细节描写|narrative|初中|基础知识
语言特色,语文,Grade 7,现代文阅读,1,掌握语言特色的相关知识和技能,3,2,0.4,掌握语言特色的方法和应用,对语言特色的理解不够准确,多练习，深入理解语言特色,语言特色|narrative|初中|基础知识
修辞手法,语文,Grade 7,现代文阅读,1,掌握修辞手法的相关知识和技能,2,2,0.4,理解修辞手法的含义和特点,对修辞手法的理解不够准确,多练习，深入理解修辞手法,修辞手法|narrative|初中|基础知识
表达效果,语文,Grade 7,现代文阅读,1,掌握表达效果的相关知识和技能,3,2,0.4,掌握表达效果的方法和应用,对表达效果的理解不够准确,多练习，深入理解表达效果,表达效果|narrative|初中|基础知识
说明对象,语文,Grade 7,现代文阅读,1,掌握说明对象的相关知识和技能,2,3,0.5,理解说明对象的含义和特点,对说明对象的理解不够准确,多练习，深入理解说明对象,说明对象|expository|初中|基础知识
说明方法,语文,Grade 7,现代文阅读,1,掌握说明方法的相关知识和技能,3,3,0.5,掌握说明方法的方法和应用,对说明方法的理解不够准确,多练习，深入理解说明方法,说明方法|expository|初中|基础知识
说明顺序,语文,Grade 7,现代文阅读,1,掌握说明顺序的相关知识和技能,2,3,0.5,理解说明顺序的含义和特点,对说明顺序的理解不够准确,多练习，深入理解说明顺序,说明顺序|expository|初中|基础知识
说明语言,语文,Grade 7,现代文阅读,1,掌握说明语言的相关知识和技能,3,2,0.4,掌握说明语言的方法和应用,对说明语言的理解不够准确,多练习，深入理解说明语言,说明语言|expository|初中|基础知识
