question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
chin_auto_0200,语文,Grade 9,choice,默认题干,A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0201,语文,Grade 9,choice,默认题干 (变式2),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0202,语文,Grade 7,choice,默认题干 (变式3),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0203,语文,Grade 8,choice,默认题干 (变式4),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0204,语文,Grade 8,choice,默认题干 (变式5),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0205,语文,Grade 9,choice,默认题干 (变式6),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0206,语文,Grade 8,choice,默认题干 (变式7),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0207,语文,Grade 7,choice,默认题干 (变式8),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
chin_auto_0208,语文,Grade 7,choice,默认题干 (变式9),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0209,语文,Grade 9,choice,默认题干 (变式10),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0210,语文,Grade 9,choice,默认题干 (变式11),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0211,语文,Grade 9,choice,默认题干 (变式12),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0212,语文,Grade 8,choice,默认题干 (变式13),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0213,语文,Grade 8,choice,默认题干 (变式14),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0214,语文,Grade 8,choice,默认题干 (变式15),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,2
chin_auto_0215,语文,Grade 7,choice,默认题干 (变式16),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0216,语文,Grade 7,choice,默认题干 (变式17),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0217,语文,Grade 8,choice,默认题干 (变式18),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0218,语文,Grade 9,choice,默认题干 (变式19),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0219,语文,Grade 7,choice,默认题干 (变式20),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0220,语文,Grade 7,choice,默认题干 (变式21),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0221,语文,Grade 8,choice,默认题干 (变式22),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0222,语文,Grade 7,choice,默认题干 (变式23),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0223,语文,Grade 9,choice,默认题干 (变式24),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0224,语文,Grade 7,choice,默认题干 (变式25),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0225,语文,Grade 7,choice,默认题干 (变式26),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0226,语文,Grade 8,choice,默认题干 (变式27),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0227,语文,Grade 8,choice,默认题干 (变式28),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
