name,subject,grade,chapter,chapter_number,description,difficulty_level,importance_level,exam_frequency,learning_objectives,common_mistakes,learning_tips,keywords
有理数的定义,数学,Grade 7,有理数,1,理解有理数的定义的基本概念和定义，掌握其特征和性质,2,3,0.7,理解有理数的定义的含义和特点,容易混淆有理数的定义的定义和分类,通过实例和对比来理解有理数的定义,有理数的定义|concepts|初中|基础知识
正数和负数,数学,Grade 7,有理数,1,理解正数和负数的基本概念和定义，掌握其特征和性质,3,3,0.7,掌握正数和负数的方法和应用,容易混淆正数和负数的定义和分类,通过实例和对比来理解正数和负数,正数和负数|concepts|初中|基础知识
数轴表示,数学,Grade 7,有理数,1,理解数轴表示的基本概念和定义，掌握其特征和性质,2,3,0.7,理解数轴表示的含义和特点,容易混淆数轴表示的定义和分类,通过实例和对比来理解数轴表示,数轴表示|concepts|初中|基础知识
相反数,数学,Grade 7,有理数,1,理解相反数的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握相反数的方法和应用,容易混淆相反数的定义和分类,通过实例和对比来理解相反数,相反数|concepts|初中|基础知识
绝对值,数学,Grade 7,有理数,1,理解绝对值的基本概念和定义，掌握其特征和性质,2,2,0.6,理解绝对值的含义和特点,容易混淆绝对值的定义和分类,通过实例和对比来理解绝对值,绝对值|concepts|初中|基础知识
有理数比较大小,数学,Grade 7,有理数,1,理解有理数比较大小的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握有理数比较大小的方法和应用,容易混淆有理数比较大小的定义和分类,通过实例和对比来理解有理数比较大小,有理数比较大小|concepts|初中|基础知识
有理数的分类,数学,Grade 7,有理数,1,理解有理数的分类的基本概念和定义，掌握其特征和性质,2,2,0.6,理解有理数的分类的含义和特点,容易混淆有理数的分类的定义和分类,通过实例和对比来理解有理数的分类,有理数的分类|concepts|初中|基础知识
零的特殊性质,数学,Grade 7,有理数,1,理解零的特殊性质的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握零的特殊性质的方法和应用,容易混淆零的特殊性质的定义和分类,通过实例和对比来理解零的特殊性质,零的特殊性质|concepts|初中|基础知识
有理数加法法则,数学,Grade 7,有理数,1,掌握有理数加法法则的操作方法和步骤，能够熟练运用,3,4,0.9,掌握有理数加法法则的方法和应用,在有理数加法法则的计算过程中容易出错,多做练习，熟练有理数加法法则的操作步骤,有理数加法法则|operations|初中|基础知识
有理数减法法则,数学,Grade 7,有理数,1,掌握有理数减法法则的操作方法和步骤，能够熟练运用,4,4,0.9,熟练运用有理数减法法则解决问题,在有理数减法法则的计算过程中容易出错,多做练习，熟练有理数减法法则的操作步骤,有理数减法法则|operations|初中|基础知识
有理数乘法法则,数学,Grade 7,有理数,1,掌握有理数乘法法则的操作方法和步骤，能够熟练运用,3,4,0.9,掌握有理数乘法法则的方法和应用,在有理数乘法法则的计算过程中容易出错,多做练习，熟练有理数乘法法则的操作步骤,有理数乘法法则|operations|初中|基础知识
有理数除法法则,数学,Grade 7,有理数,1,掌握有理数除法法则的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用有理数除法法则解决问题,在有理数除法法则的计算过程中容易出错,多做练习，熟练有理数除法法则的操作步骤,有理数除法法则|operations|初中|基础知识
有理数乘方运算,数学,Grade 7,有理数,1,掌握有理数乘方运算的操作方法和步骤，能够熟练运用,3,3,0.8,掌握有理数乘方运算的方法和应用,在有理数乘方运算的计算过程中容易出错,多做练习，熟练有理数乘方运算的操作步骤,有理数乘方运算|operations|初中|基础知识
有理数混合运算,数学,Grade 7,有理数,1,掌握有理数混合运算的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用有理数混合运算解决问题,在有理数混合运算的计算过程中容易出错,多做练习，熟练有理数混合运算的操作步骤,有理数混合运算|operations|初中|基础知识
运算律的应用,数学,Grade 7,有理数,1,掌握运算律的应用的操作方法和步骤，能够熟练运用,3,3,0.8,掌握运算律的应用的方法和应用,在运算律的应用的计算过程中容易出错,多做练习，熟练运算律的应用的操作步骤,运算律的应用|operations|初中|基础知识
分配律,数学,Grade 7,有理数,1,掌握分配律的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用分配律解决问题,在分配律的计算过程中容易出错,多做练习，熟练分配律的操作步骤,分配律|operations|初中|基础知识
结合律,数学,Grade 7,有理数,1,掌握结合律的操作方法和步骤，能够熟练运用,3,3,0.8,掌握结合律的方法和应用,在结合律的计算过程中容易出错,多做练习，熟练结合律的操作步骤,结合律|operations|初中|基础知识
交换律,数学,Grade 7,有理数,1,掌握交换律的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用交换律解决问题,在交换律的计算过程中容易出错,多做练习，熟练交换律的操作步骤,交换律|operations|初中|基础知识
温度变化计算,数学,Grade 7,有理数,1,能够运用温度变化计算解决实际问题，理解其应用价值,4,5,1.0,熟练运用温度变化计算解决问题,不能正确识别温度变化计算的应用场景,结合实际情况，理解温度变化计算的应用,温度变化计算|applications|初中|基础知识
海拔高度表示,数学,Grade 7,有理数,1,能够运用海拔高度表示解决实际问题，理解其应用价值,5,5,1.0,深入理解海拔高度表示并能创新应用,不能正确识别海拔高度表示的应用场景,结合实际情况，理解海拔高度表示的应用,海拔高度表示|applications|初中|基础知识
盈亏问题,数学,Grade 7,有理数,1,能够运用盈亏问题解决实际问题，理解其应用价值,4,5,1.0,熟练运用盈亏问题解决问题,不能正确识别盈亏问题的应用场景,结合实际情况，理解盈亏问题的应用,盈亏问题|applications|初中|基础知识
收支平衡计算,数学,Grade 7,有理数,1,能够运用收支平衡计算解决实际问题，理解其应用价值,5,4,1.0,深入理解收支平衡计算并能创新应用,不能正确识别收支平衡计算的应用场景,结合实际情况，理解收支平衡计算的应用,收支平衡计算|applications|初中|基础知识
方向和位移,数学,Grade 7,有理数,1,能够运用方向和位移解决实际问题，理解其应用价值,4,4,1.0,熟练运用方向和位移解决问题,不能正确识别方向和位移的应用场景,结合实际情况，理解方向和位移的应用,方向和位移|applications|初中|基础知识
用字母表示数,数学,Grade 7,整式,1,理解用字母表示数的基本概念和定义，掌握其特征和性质,2,3,0.7,理解用字母表示数的含义和特点,容易混淆用字母表示数的定义和分类,通过实例和对比来理解用字母表示数,用字母表示数|concepts|初中|基础知识
代数式的意义,数学,Grade 7,整式,1,理解代数式的意义的基本概念和定义，掌握其特征和性质,3,3,0.7,掌握代数式的意义的方法和应用,容易混淆代数式的意义的定义和分类,通过实例和对比来理解代数式的意义,代数式的意义|concepts|初中|基础知识
单项式定义,数学,Grade 7,整式,1,理解单项式定义的基本概念和定义，掌握其特征和性质,2,3,0.7,理解单项式定义的含义和特点,容易混淆单项式定义的定义和分类,通过实例和对比来理解单项式定义,单项式定义|concepts|初中|基础知识
多项式定义,数学,Grade 7,整式,1,理解多项式定义的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握多项式定义的方法和应用,容易混淆多项式定义的定义和分类,通过实例和对比来理解多项式定义,多项式定义|concepts|初中|基础知识
整式的概念,数学,Grade 7,整式,1,理解整式的概念的基本概念和定义，掌握其特征和性质,2,2,0.6,理解整式的概念的含义和特点,容易混淆整式的概念的定义和分类,通过实例和对比来理解整式的概念,整式的概念|concepts|初中|基础知识
系数和次数,数学,Grade 7,整式,1,理解系数和次数的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握系数和次数的方法和应用,容易混淆系数和次数的定义和分类,通过实例和对比来理解系数和次数,系数和次数|concepts|初中|基础知识
同类项,数学,Grade 7,整式,1,理解同类项的基本概念和定义，掌握其特征和性质,2,2,0.6,理解同类项的含义和特点,容易混淆同类项的定义和分类,通过实例和对比来理解同类项,同类项|concepts|初中|基础知识
常数项,数学,Grade 7,整式,1,理解常数项的基本概念和定义，掌握其特征和性质,3,2,0.6,掌握常数项的方法和应用,容易混淆常数项的定义和分类,通过实例和对比来理解常数项,常数项|concepts|初中|基础知识
合并同类项,数学,Grade 7,整式,1,掌握合并同类项的操作方法和步骤，能够熟练运用,3,4,0.9,掌握合并同类项的方法和应用,在合并同类项的计算过程中容易出错,多做练习，熟练合并同类项的操作步骤,合并同类项|operations|初中|基础知识
去括号,数学,Grade 7,整式,1,掌握去括号的操作方法和步骤，能够熟练运用,4,4,0.9,熟练运用去括号解决问题,在去括号的计算过程中容易出错,多做练习，熟练去括号的操作步骤,去括号|operations|初中|基础知识
添括号,数学,Grade 7,整式,1,掌握添括号的操作方法和步骤，能够熟练运用,3,4,0.9,掌握添括号的方法和应用,在添括号的计算过程中容易出错,多做练习，熟练添括号的操作步骤,添括号|operations|初中|基础知识
整式加法,数学,Grade 7,整式,1,掌握整式加法的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用整式加法解决问题,在整式加法的计算过程中容易出错,多做练习，熟练整式加法的操作步骤,整式加法|operations|初中|基础知识
整式减法,数学,Grade 7,整式,1,掌握整式减法的操作方法和步骤，能够熟练运用,3,3,0.8,掌握整式减法的方法和应用,在整式减法的计算过程中容易出错,多做练习，熟练整式减法的操作步骤,整式减法|operations|初中|基础知识
整式化简,数学,Grade 7,整式,1,掌握整式化简的操作方法和步骤，能够熟练运用,4,3,0.8,熟练运用整式化简解决问题,在整式化简的计算过程中容易出错,多做练习，熟练整式化简的操作步骤,整式化简|operations|初中|基础知识
